Local time,Symbol,Ask,Bid,AskVolume,BidVolume
20.11.2019 22:54:51.224,Gas,569.909,569.009,0.0004,0.0002
20.11.2019 22:54:51.822,Gas,569.91,569.01,0.0001,0.0001
20.11.2019 22:55:16.305,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 22:55:18.525,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 22:55:19.693,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 22:55:52.997,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 22:55:59.116,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 22:56:09.441,Gas,570.029,569.129,0.0002,0.0001
20.11.2019 22:56:10.415,Gas,570.03,569.13,0.0005,0.0001
20.11.2019 22:56:12.810,Gas,569.909,569.009,0.0005,0.0001
20.11.2019 22:56:39.261,Gas,569.779,568.879,0.0002,0.0001
20.11.2019 22:56:39.908,Gas,569.91,569.01,0.0003,0.0004
20.11.2019 22:57:06.235,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 22:57:07.482,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 22:57:08.568,Gas,569.78,568.88,0.0002,0.0001
20.11.2019 22:57:09.134,Gas,569.779,568.879,0.0002,0.0003
20.11.2019 22:57:11.620,Gas,569.78,568.88,0.0002,0.0003
20.11.2019 22:57:13.223,Gas,569.91,569.01,0.0002,0.0003
20.11.2019 22:57:13.728,Gas,569.78,568.88,0.0002,0.0001
20.11.2019 22:57:16.357,Gas,569.779,568.879,0.0002,0.0003
20.11.2019 22:57:17.214,Gas,569.78,568.88,0.0003,0.0003
20.11.2019 22:57:22.865,Gas,569.779,568.879,0.0003,0.0003
20.11.2019 22:57:28.223,Gas,569.909,569.009,0.0003,0.0003
20.11.2019 22:57:28.727,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 22:57:32.131,Gas,569.779,568.879,0.0002,0.0001
20.11.2019 22:57:44.249,Gas,569.91,569.01,0.0003,0.0003
20.11.2019 22:57:46.723,Gas,569.779,568.879,0.0003,0.0001
20.11.2019 22:57:47.860,Gas,569.78,568.88,0.0003,0.0003
20.11.2019 22:57:50.627,Gas,569.779,568.879,0.0002,0.0003
20.11.2019 22:57:51.710,Gas,569.909,569.009,0.0002,0.0003
20.11.2019 22:57:52.232,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 22:58:02.338,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 22:58:03.569,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 22:58:11.114,Gas,569.78,568.88,0.0002,0.0001
20.11.2019 22:58:11.631,Gas,569.779,568.879,0.0002,0.0003
20.11.2019 22:58:20.781,Gas,569.91,569.01,0.0002,0.0003
20.11.2019 22:58:24.491,Gas,569.909,569.009,0.0003,0.0001
20.11.2019 22:58:29.198,Gas,569.91,569.01,0.0003,0.0001
20.11.2019 22:58:34.456,Gas,569.909,569.009,0.0003,0.0001
20.11.2019 22:58:36.343,Gas,569.91,569.01,0.0003,0.0001
20.11.2019 22:58:38.420,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 22:58:55.520,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 23:00:32.987,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 23:00:57.363,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 23:01:01.832,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 23:01:19.833,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 23:01:55.035,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 23:02:00.210,Gas,569.91,569.01,0.0003,0.0001
20.11.2019 23:02:03.527,Gas,569.909,569.009,0.0003,0.0001
20.11.2019 23:02:34.416,Gas,569.91,569.01,0.0003,0.0001
20.11.2019 23:02:45.223,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 23:03:49.141,Gas,569.91,569.01,0.0004,0.0003
20.11.2019 23:03:50.729,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 23:03:51.249,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 23:03:52.007,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 23:04:20.869,Gas,570.03,569.13,0.0002,0.0001
20.11.2019 23:04:21.356,Gas,570.029,569.129,0.0005,0.0001
20.11.2019 23:04:23.226,Gas,570.03,569.13,0.0005,0.0002
20.11.2019 23:05:16.731,Gas,570.029,569.129,0.0005,0.0002
20.11.2019 23:05:18.307,Gas,569.91,569.01,0.0005,0.0002
20.11.2019 23:05:18.816,Gas,569.909,569.009,0.0001,0.0002
20.11.2019 23:05:28.943,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 23:05:43.997,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 23:06:15.810,Gas,569.91,569.01,0.0001,0.0001
20.11.2019 23:06:50.847,Gas,569.909,569.009,0.0001,0.0001
20.11.2019 23:07:03.416,Gas,569.91,569.01,0.0001,0.0001
20.11.2019 23:07:25.522,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 23:07:27.324,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 23:08:02.233,Gas,569.909,569.009,0.0001,0.0001
20.11.2019 23:08:14.844,Gas,569.91,569.01,0.0001,0.0001
20.11.2019 23:08:33.572,Gas,570.03,569.13,0.0002,0.0001
20.11.2019 23:08:34.120,Gas,570.029,569.129,0.0005,0.0001
20.11.2019 23:08:35.333,Gas,570.03,569.13,0.0005,0.0003
20.11.2019 23:08:36.528,Gas,570.029,569.129,0.0005,0.0003
20.11.2019 23:08:42.343,Gas,570.03,569.13,0.0005,0.0002
20.11.2019 23:08:46.820,Gas,570.029,569.129,0.0005,0.0002
20.11.2019 23:09:02.942,Gas,570.03,569.13,0.0005,0.0002
20.11.2019 23:09:03.797,Gas,569.91,569.01,0.0005,0.0001
20.11.2019 23:09:04.317,Gas,569.909,569.009,0.0001,0.0001
20.11.2019 23:09:19.622,Gas,570.03,569.13,0.0001,0.0001
20.11.2019 23:09:20.226,Gas,570.16,569.26,0.0005,0.0001
20.11.2019 23:09:20.737,Gas,570.159,569.259,0.0003,0.0001
20.11.2019 23:09:29.984,Gas,570.16,569.26,0.0002,0.0001
20.11.2019 23:10:06.146,Gas,570.159,569.259,0.0004,0.0002
20.11.2019 23:10:07.240,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 23:10:19.803,Gas,570.03,569.13,0.0003,0.0001
20.11.2019 23:10:20.425,Gas,570.16,569.26,0.0003,0.0004
20.11.2019 23:10:31.981,Gas,570.159,569.259,0.0002,0.0001
20.11.2019 23:10:50.741,Gas,570.16,569.26,0.0002,0.0001
20.11.2019 23:11:12.824,Gas,570.029,569.129,0.0003,0.0001
20.11.2019 23:11:13.707,Gas,570.16,569.26,0.0003,0.0004
20.11.2019 23:11:14.566,Gas,570.029,569.129,0.0003,0.0001
20.11.2019 23:11:15.129,Gas,570.03,569.13,0.0003,0.0004
20.11.2019 23:11:17.296,Gas,570.159,569.259,0.0003,0.0004
20.11.2019 23:11:17.825,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 23:11:23.744,Gas,570.03,569.13,0.0003,0.0001
20.11.2019 23:11:28.863,Gas,570.159,569.259,0.0003,0.0004
20.11.2019 23:11:31.266,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 23:11:40.275,Gas,570.029,569.129,0.0003,0.0001
20.11.2019 23:11:44.123,Gas,570.159,569.259,0.0003,0.0004
20.11.2019 23:11:48.287,Gas,570.029,569.129,0.0003,0.0001
20.11.2019 23:11:52.235,Gas,570.16,569.26,0.0003,0.0004
20.11.2019 23:11:53.235,Gas,570.159,569.259,0.0003,0.0001
20.11.2019 23:11:58.630,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 23:12:03.523,Gas,570.159,569.259,0.0002,0.0001
20.11.2019 23:12:10.536,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 23:12:33.500,Gas,570.159,569.259,0.0003,0.0001
20.11.2019 23:12:45.740,Gas,570.16,569.26,0.0003,0.0001
20.11.2019 23:13:12.181,Gas,570.029,569.129,0.0003,0.0001
20.11.2019 23:13:43.545,Gas,570.03,569.13,0.0004,0.0004
20.11.2019 23:13:46.930,Gas,569.909,569.009,0.0004,0.0003
20.11.2019 23:14:25.763,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 23:15:17.225,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 23:15:53.218,Gas,569.91,569.01,0.0003,0.0001
20.11.2019 23:16:11.145,Gas,569.909,569.009,0.0003,0.0001
20.11.2019 23:16:16.723,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 23:16:20.730,Gas,569.909,569.009,0.0002,0.0001
20.11.2019 23:16:33.536,Gas,569.91,569.01,0.0001,0.0001
20.11.2019 23:17:21.336,Gas,569.909,569.009,0.0003,0.0001
20.11.2019 23:18:14.543,Gas,569.78,568.88,0.0003,0.0003
20.11.2019 23:18:16.425,Gas,569.779,568.879,0.0003,0.0004
20.11.2019 23:18:19.029,Gas,569.78,568.88,0.0003,0.0004
20.11.2019 23:18:25.555,Gas,569.779,568.879,0.0003,0.0004
20.11.2019 23:18:26.142,Gas,569.91,569.01,0.0003,0.0003
20.11.2019 23:18:29.331,Gas,569.909,569.009,0.0003,0.0001
20.11.2019 23:18:34.606,Gas,569.779,568.879,0.0003,0.0001
20.11.2019 23:18:37.244,Gas,569.78,568.88,0.0003,0.0004
20.11.2019 23:18:49.152,Gas,569.779,568.879,0.0003,0.0004
20.11.2019 23:18:54.995,Gas,569.78,568.88,0.0003,0.0003
20.11.2019 23:19:01.269,Gas,569.779,568.879,0.0003,0.0004
20.11.2019 23:19:21.251,Gas,569.78,568.88,0.0003,0.0004
20.11.2019 23:20:00.966,Gas,569.909,569.009,0.0003,0.0004
20.11.2019 23:20:04.736,Gas,569.779,568.879,0.0003,0.0001
20.11.2019 23:20:07.294,Gas,569.909,569.009,0.0003,0.0004
20.11.2019 23:20:16.177,Gas,569.779,568.879,0.0003,0.0001
20.11.2019 23:20:17.243,Gas,569.91,569.01,0.0003,0.0004
20.11.2019 23:20:19.634,Gas,569.779,568.879,0.0003,0.0001
20.11.2019 23:20:20.916,Gas,569.78,568.88,0.0003,0.0004
20.11.2019 23:20:22.222,Gas,569.779,568.879,0.0003,0.0003
20.11.2019 23:20:36.572,Gas,569.78,568.88,0.0004,0.0003
20.11.2019 23:20:59.957,Gas,569.909,569.009,0.0003,0.0004
20.11.2019 23:21:02.993,Gas,569.78,568.88,0.0003,0.0001
20.11.2019 23:21:03.556,Gas,569.91,569.01,0.0003,0.0004
20.11.2019 23:21:06.914,Gas,569.779,568.879,0.0003,0.0001
20.11.2019 23:21:13.085,Gas,569.91,569.01,0.0003,0.0004
20.11.2019 23:21:14.083,Gas,569.909,569.009,0.0003,0.0001
20.11.2019 23:21:20.826,Gas,569.78,568.88,0.0003,0.0001
20.11.2019 23:21:24.651,Gas,569.909,569.009,0.0003,0.0004
20.11.2019 23:21:26.059,Gas,569.779,568.879,0.0003,0.0001
20.11.2019 23:21:41.994,Gas,569.78,568.88,0.0003,0.0004
20.11.2019 23:21:51.189,Gas,569.779,568.879,0.0003,0.0004
20.11.2019 23:21:56.703,Gas,569.78,568.88,0.0004,0.0003
20.11.2019 23:21:57.446,Gas,569.779,568.879,0.0004,0.0003
20.11.2019 23:21:58.026,Gas,569.78,568.88,0.0003,0.0004
20.11.2019 23:22:02.017,Gas,569.909,569.009,0.0003,0.0004
20.11.2019 23:23:17.470,Gas,569.91,569.01,0.0003,0.0001
20.11.2019 23:24:05.603,Gas,569.909,569.009,0.0005,0.0005
20.11.2019 23:24:10.325,Gas,569.91,569.01,0.0003,0.0001
20.11.2019 23:25:20.620,Gas,569.909,569.009,0.0003,0.0001
20.11.2019 23:25:23.519,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 23:25:24.612,Gas,569.909,569.009,0.0003,0.0001
20.11.2019 23:25:43.520,Gas,569.91,569.01,0.0002,0.0001
20.11.2019 23:26:14.227,Gas,569.66,568.76,0.0002,0.0001
20.11.2019 23:27:51.674,Gas,569.659,568.759,0.0002,0.0005
20.11.2019 23:29:16.231,Gas,569.659,568.759,0.0001,0.0005
